gene_names,state,pvalue,effect
RBP5,2,0.950000718945809,-0.0273636858773926
APOBEC4,2,1,6.93889390390723e-18
ZFP37,2,0.894018308860616,0.0572832501354137
HSD11B1,2,0.761441425949017,-0.117252388661048
EPHX2,2,0.309145932677917,0.486268869156987
SNCG,2,0.913018480073996,-0.172890500951677
HSPB3,2,NA,0
IL18,2,0.453144950984451,0.128343512954354
FBF1,2,0.970640354392336,-0.0882776456594364
CBY3,2,1,2.46330733588707e-15
DUSP6,2,0.646803622675964,-0.267113463793569
TNFRSF18,2,0.597458032957175,-0.0418724533893082
CD3EAP,2,0.959385312411474,-0.029768697331461
NR4A1,2,0.99555361535188,-0.0656617199191589
MYO1E,2,0.678594597659536,-0.600642115580638
TIMP3,2,0.655647643986637,-1.11007932326777
HLA-DQB1,2,0.957405997501814,0.046348338600836
HIPK4,2,1,1.85962356624714e-15
CTD-2369P2.10,2,0.816787477993074,-0.106571506154206
NEURL2,2,0.995665307009012,-0.0486853629061263
TIMM10,2,0.859189161469403,-0.0778839110187025
PDE6B,2,0.999836480302258,-0.0110110853212436
BCO1,2,0.726873455352961,0.294665460673659
SCUBE3,2,0.516402609340523,-0.215054385819383
NEDD9,2,0.756005596317867,0.271394687678678
PDZD11,2,0.954857401337675,-0.0772159624561602
CES4A,2,0.984908489682589,-0.0598604128171642
MRPL36,2,0.992793446566374,-0.0584901442566238
AKR1E2,2,0.981040779899726,-0.0232878414094835
NCBP2-AS2,2,0.737327677250635,0.195467432782534
ZNF593,2,0.981172745373783,-0.0356111519479124
BEX5,2,0.998934127550348,-0.0268747838293993
COL9A3,2,0.878438423519042,0.0824683619013407
PHLDB2,2,1,3.53883589099269e-16
CHCHD5,2,1,1.31838984174237e-15
ITM2A,2,NA,0
CHAC2,2,0.227624549286486,-0.339109274377741
DMKN,2,0.684074726233713,0.0520333092894603
SPDYE3,2,0.615440515739787,-0.465602937274492
MED11,2,0.437361295373191,0.294589563191299
DUS3L,2,0.538657183592475,0.123274494303669
COA4,2,0.931180743396471,-0.121172579893033
SPAG8,2,0.999883912823391,0.0120644388286133
WDR54,2,0.995251180439108,-0.0409630887494404
NKPD1,2,1,1.13797860024079e-15
NGFRAP1,2,0.998295581078306,0.0848521893031727
TMEM223,2,0.993776421295088,-0.0552034832004981
GCSH,2,0.536361217132197,0.512609145371772
RDH11,2,0.270012381178692,-0.192347898717228
TCEAL5,2,0.999999999833434,-0.000110030673005773
IDH2,2,0.0163908291706876,-2.35171092116663
TCTEX1D1,2,0.999964529977447,-0.0123727900135818
PCP4,2,0.989371958105516,-0.0556558454626663
TUBB2A,2,0.99638241281302,0.0825045006813622
ABRACL,2,0.21567225951417,0.240125453594634
MRPS16,2,0.907092705955166,0.204800448851793
ACYP1,2,0.690681775100847,-0.322034924008191
SNRNP25,2,0.916990746687162,0.140654068071186
DDRGK1,2,0.984538631418965,-0.135691679849229
BOLA1,2,0.978062404754433,-0.0521489449663401
ENDOG,2,0.892568390650115,-0.128503187822398
AC004381.6,2,0.895168850099741,0.0708856106211578
PLA2G4A,2,0.973929333268728,-0.0229196586973037
SFXN4,2,0.99942910137713,-0.0463031156007379
IFIT3,2,0.473448530147357,-0.285686462749618
BEX2,2,0.969991818713889,-0.123397008572172
GADD45A,2,0.99893114048842,-0.0300929657223833
SLC25A45,2,0.959653663823582,-0.0331338544210963
TMEM208,2,0.999734170154546,0.0263412991987501
CLDN16,2,1,-5.96744875736022e-16
COX4I1,2,0.774202749867806,-0.525059816221152
DNAJC30,2,0.228205147292156,-0.346743006310465
NPDC1,2,0.623311513849295,-0.196672845205361
MRPL51,2,0.454861118777405,0.488804423292723
POP7,2,0.911771036323163,0.117458190953983
SDHAF3,2,0.607155683166239,0.207624980986832
TAF9B,2,0.384260837271231,0.173856277800133
NPM3,2,1,-1.59247615094671e-15
SPDYE5,2,0.730695063639218,-0.328820545120235
LGALS1,2,0.987858560691238,-0.105404770759877
BEX1,2,0.996653150309496,-0.0937386477508061
FUCA2,2,0.973986411705435,0.0859976369003815
ERP29,2,0.199298669936642,-0.486751992435169
HMGN4,2,0.999998660360545,0.00281450763882285
MRPL24,2,0.961808197459461,0.124005638054762
SOD1,2,0.97521949168724,-0.203635230110284
DUOX1,2,0.729238062118185,0.258143287356651
SCNM1,2,0.999931181870865,0.0186377048187356
COA3,2,0.999969574729792,-0.0090531782647611
POP5,2,0.853102841248493,-0.145741407531426
ATPIF1,2,0.649971255400181,0.536836074868145
TRAPPC1,2,0.318596740017394,-0.329360316817765
IFT22,2,0.976911610131044,-0.0863234456992986
TRMT10B,2,0.191092819349363,-0.853720392294139
ATP6V1F,2,0.955333913125273,-0.187821212823697
CYB5R1,2,0.651464116729868,-0.303123442247596
SCAND1,2,0.999351206983311,0.0319322862749017
EGR1,2,0.426507584468603,-0.282655861377697
WDYHV1,2,0.27887220276,-0.355691831488843
PDHA1,2,0.596372040049405,-0.329750403442062
MRPL14,2,0.966045810602389,-0.061609735341122
MAGEF1,2,0.805328028643322,0.202114613040261
RAB3A,2,0.496997126213813,-0.337612489029504
GPANK1,2,0.993492237323746,0.0607021425545997
TXK,2,0.920272525835049,0.0476592007026793
PTRH1,2,0.923964424381976,0.148984093840193
PPIL3,2,0.833138127469222,-0.261165384128629
ZNF790,2,0.463859087771191,-0.470919994253614
TCHP,2,0.654233200825535,0.455903730693406
TUBA4A,2,0.198485188484927,-0.77816765197791
RPL26L1,2,0.708626820792545,-0.267788795206521
NAA20,2,0.735891203242308,-0.278882224541975
LSM2,2,0.998378447337845,0.0318984095096261
PEX11B,2,0.831352083132431,0.19478071881831
